Time (sec),Irradiance (W/m2),Ambient Temp,Load power (W)
0,0,12.16871,50
180,0,12.38549528,50
360,0,12.58948029,50
540,0,12.78105981,50
720,0,12.96062382,50
900,0,13.12855562,50
1080,0,13.28523185,50
1260,0,13.43102257,50
1440,0,13.56629133,100
1620,0,13.69139523,100
1800,0,13.80668498,100
1980,0,13.91250494,100
2160,0,14.00919323,100
2340,0,14.09708174,100
2520,0,14.17649625,100
2700,0,14.24775641,200
2880,0,14.31117588,200
3060,0,14.36706236,200
3240,0,14.41571762,200
3420,0,14.45743761,600
3600,0,14.4925125,600
3780,0,14.52122671,600
3960,0,14.54385903,600
4140,0,14.56068262,600
4320,0,14.57196511,600
4500,0,14.57796862,0
4680,0,14.57894986,0
4860,0,14.57516016,0
5040,0,14.56684554,0
5220,0,14.55424675,0
5400,0,14.53759935,0
5580,0,14.51713376,50
5760,0,14.49307529,50
5940,0,14.46564425,50
6120,0,14.43505595,50
6300,0,14.40152079,50
6480,0,14.36524431,50
6660,0,14.32642723,50
6840,0,14.28526553,50
7020,0,14.24195047,100
7200,0,14.19666869,100
7380,0,14.14960222,100
7560,0,14.10092856,100
7740,0,14.05082073,100
7920,0,13.99944732,100
8100,0,13.94697252,100
8280,0,13.89355623,200
8460,0,13.83935407,200
8640,0,13.78451741,200
8820,0,13.72919349,200
9000,0,13.67352542,600
9180,0,13.61765225,600
9360,0,13.56170899,600
9540,0,13.50582674,600
9720,0,13.45013264,600
9900,0,13.39474999,600
10080,0,13.33979828,0
10260,0,13.28539323,0
10440,0,13.23164686,0
10620,0,13.17866752,0
10800,0,13.12655996,0
10980,0,13.07542534,0
11160,0,13.02536133,50
11340,0,12.97646211,50
11520,0,12.92881847,50
11700,0,12.88251781,50
11880,0,12.83764419,50
12060,0,12.79427844,50
12240,0,12.75249811,50
12420,0,12.7123776,50
12600,0,12.67398816,100
12780,0,12.63739796,100
12960,0,12.60267211,100
13140,0,12.56987273,100
13320,0,12.539059,100
13500,0,12.51028716,100
13680,0,12.48361062,100
13860,0,12.45907996,200
14040,0,12.43674297,200
14220,0,12.41664474,200
14400,0,12.39882764,200
14580,0,12.38333143,600
14760,0,12.37019324,600
14940,0,12.35944768,600
15120,0,12.3511268,600
15300,0,12.34526023,600
15480,0,12.34187512,600
15660,0,12.34099628,0
15840,0,12.34264615,0
16020,0,12.34684486,0
16200,0,12.3536103,0
16380,0,12.36295812,0
16560,0,12.3749018,0
16740,0,12.38945266,50
16920,0,12.40661996,50
17100,0,12.42641086,50
17280,0,12.44883051,50
17460,0,12.47388209,50
17640,0,12.50156682,50
17820,0,12.53188404,50
18000,0,12.56483121,50
18180,0,12.60040395,100
18360,0,12.63859612,100
18540,0,12.67939981,100
18720,0,12.7228054,100
18900,0,12.7688016,100
19080,0,12.81737547,100
19260,0,12.86851249,100
19440,0,12.92219653,200
19620,0,12.97840998,200
19800,0,13.03713371,200
19980,0,13.09834713,200
20160,0,13.16202824,600
20340,0,13.22815363,600
20520,0,13.29669857,600
20700,0,13.36763698,600
20880,0,13.44094152,600
21060,0,13.51658359,600
21240,0,13.59453336,0
21420,0,13.67475985,0
21600,0,13.7572309,0
21780,0,13.84191324,0
21960,0,13.92877254,0
22140,0,14.01777338,0
22320,0,14.10887936,50
22500,0,14.20205307,50
22680,0,14.29725615,50
22860,0,14.39444932,50
23040,0,14.49359239,50
23220,0,14.59464434,50
23400,0,14.69756329,50
23580,0,14.80230658,50
23760,0,14.90883076,100
23940,0,15.01709166,100
24120,0,15.12704438,100
24300,0,15.23864335,100
24480,0,15.35184235,100
24660,0,15.46659453,100
24840,0,15.58285243,100
25020,10,15.70056806,200
25200,30.580028,15.81969286,200
25380,39.12465275,15.94017776,200
25560,47.96413061,16.06197323,200
25740,57.08440568,16.18502926,600
25920,66.47173191,16.30929541,600
26100,76.11266789,16.43472085,600
26280,85.99407172,16.56125438,600
26460,96.10309594,16.68884442,600
26640,106.4271825,16.81743909,600
26820,116.9540577,16.94698621,0
27000,127.6717273,17.07743332,0
27180,138.5684718,17.20872771,0
27360,149.6328412,17.34081645,0
27540,160.8536509,17.47364641,0
27720,172.219976,17.60716429,0
27900,154.1352305,17.74131662,50
28080,61.12293031,17.87604984,50
28260,33.98055624,18.01131025,50
28440,148.4030828,18.14704408,50
28620,67.78163233,18.28319753,50
28800,222.1336977,18.41971673,50
28980,182.3993177,18.55654781,50
29160,211.078427,18.69363692,50
29340,139.411298,18.83093022,100
29520,157.5905847,18.96837396,100
29700,110.9940619,19.10591443,100
29880,1.852299665,19.24349803,100
30060,54.39108496,19.38107128,100
30240,244.6344198,19.51858084,100
30420,238.7009348,19.65597353,100
30600,209.3609589,19.79319632,200
30780,277.8368744,19.93019643,200
30960,247.0241491,20.06692125,200
31140,331.5447218,20.20331844,200
31320,210.8642016,20.33933589,600
31500,1.244517048,20.47492179,600
31680,439.9793328,20.6100246,600
31860,452.2093134,20.74459311,600
32040,464.3892925,20.87857643,600
32220,204.3367381,21.01192403,600
32400,431.1069322,21.14458572,0
32580,329.7466074,21.27651172,0
32760,148.2911259,21.40765264,0
32940,100.053805,21.53795949,0
33120,152.9734304,21.66738373,0
33300,108.141136,21.79587727,0
33480,484.2961094,21.92339247,50
33660,272.6081407,22.04988218,50
33840,582.2358112,22.17529974,50
34020,593.5150746,22.299599,50
34200,604.6841894,22.42273435,50
34380,615.7390012,22.54466069,50
34560,626.6754737,22.66533351,50
34740,637.4896866,22.78470884,50
34920,648.1778319,22.90274329,100
35100,658.7362123,23.0193941,100
35280,669.1612377,23.13461907,100
35460,679.4494235,23.24837666,100
35640,689.5973874,23.36062595,100
35820,699.6018473,23.47132666,100
36000,709.459619,23.58043918,100
36180,719.1676136,23.68792457,200
36360,728.7228354,23.79374456,200
36540,235.8668642,23.89786159,200
36720,747.3634303,24.00023879,200
36900,756.443258,24.10084002,600
37080,765.3592177,24.19962985,600
37260,774.1087471,24.2965736,600
37440,782.6893644,24.39163734,600
37620,791.0986661,24.48478787,600
37800,799.3343257,24.5759928,600
37980,807.3940916,24.66522047,0
38160,815.2757851,24.75244004,0
38340,822.977299,24.83762143,0
38520,811.3994474,24.9207354,0
38700,758.4851891,25.00175349,0
38880,472.5953634,25.08064806,0
39060,561.5543969,25.15739232,50
39240,823.6137914,25.23196029,50
39420,865.2931939,25.30432682,50
39600,871.680108,25.37446765,50
39780,877.872365,25.44235932,50
39960,883.8684311,25.50797928,50
40140,889.6668294,25.57130581,50
40320,895.2661387,25.63231808,50
40500,700.8209251,25.69099613,100
40680,84.76061401,25.74732089,100
40860,388.2414285,25.80127417,100
41040,431.5841969,25.85283868,100
41220,895.5713346,25.90199802,100
41400,149.2843384,25.9487367,100
41580,928.7786671,25.99304013,100
41760,932.7404566,26.03489463,200
41940,936.492711,26.07428744,200
42120,940.0345144,26.1112067,200
42300,389.5602251,26.14564148,200
42480,946.4833353,26.17758178,600
42660,949.3887505,26.20701851,600
42840,617.2629973,26.23394351,600
43020,954.5579215,26.25834955,600
43200,468.7203137,26.28023033,600
43380,958.8671721,26.29958048,600
43560,960.6978511,26.31639556,0
43740,722.1246802,26.33067207,0
43920,76.95279332,26.34240744,0
44100,301.1971185,26.35160004,0
44280,108.9169524,26.35824915,0
44460,577.9759023,26.36235502,0
44640,472.7951714,26.36391881,50
44820,275.5888113,26.36294262,50
45000,618.7249248,26.35942948,50
45180,967.3765732,26.35338334,50
45360,967.0245828,26.3448091,50
45540,966.4531622,26.33371258,50
45720,965.6622757,26.32010051,50
45900,964.6519327,26.30398057,50
46080,963.4221877,26.28536133,100
46260,961.9731415,26.26425229,100
46440,960.3049412,26.24066388,100
46620,958.4177813,26.21460742,100
46800,956.311904,26.18609515,100
46980,953.9876,26.1551402,100
47160,951.4452095,26.1217566,100
47340,948.6851226,26.0859593,200
