solar_curr_mA,load_power_mW
0.0,9071.7973222368
0.0,13247.292504442643
0.0,13246.88096997764
0.0,13246.469422727385
0.0,13246.057862690683
0.0,13245.646289866338
0.0,13245.234704253166
0.0,13244.82310584997
0.0,13244.41149465556
0.0,13243.99987066874
0.0,13243.588233888322
0.0,13243.17658431311
0.0,13242.76492194191
0.0,13242.353246773531
0.0,13241.94155880678
0.0,13241.52985804046
0.0,13241.118144473377
0.0,13240.70641810434
0.0,13240.294678932152
0.0,13239.88292695562
0.0,13239.471162173551
0.0,13239.05938458475
0.0,13238.647594188018
0.0,13238.235790982162
0.0,13237.823974965988
0.0,13237.412146138298
0.0,13237.000304497897
0.0,13236.588450043591
0.0,13236.17658277418
0.0,13235.76470268847
0.0,13235.352809785269
0.0,13234.94090406337
0.0,13234.528985521587
0.0,13234.117054158716
0.0,13233.705109973562
0.0,13233.29315296493
0.0,13232.881183131616
0.0,13232.469200472426
0.0,13232.057204986162
0.0,13231.645196671627
0.0,13231.23317552762
0.0,13230.821141552942
0.0,13230.409094746397
0.0,13229.997035106786
0.0,13229.584962632907
0.0,13229.172877323566
0.0,13228.760779177557
0.0,13228.348668193687
0.0,13227.936544370748
0.0,13227.524407707546
0.0,13227.11225820288
0.0,13226.70009585555
0.0,13226.287920664354
0.0,13225.87573262809
0.0,13225.463531745558
0.0,13225.051318015558
0.0,13224.639091436886
0.0,13224.226852008343
0.0,13223.814599728728
0.0,13223.402334596836
0.0,13222.990056611468
0.0,13222.57776577142
0.0,13222.16546207549
0.0,13221.753145522478
0.0,13221.340816111173
0.0,13220.92847384038
0.0,13220.516118708892
0.0,13220.103750715505
0.0,13219.69136985902
0.0,13219.27897613823
0.0,13218.866569551928
0.0,13218.454150098916
0.0,13218.041717777985
0.0,13217.629272587936
0.0,13217.216814527555
0.0,13216.804343595644
0.0,13216.391859790996
0.0,13215.979363112408
0.0,13215.56685355867
0.0,13215.15433112858
0.0,13214.741795820932
0.0,13214.32924763452
0.0,13213.916686568133
0.0,13213.50411262057
0.0,13213.091525790624
0.0,13212.678926077084
0.0,13212.266313478747
0.0,13211.853687994406
0.0,13211.441049622852
0.0,13211.028398362876
0.0,13210.615734213274
0.0,13210.203057172834
0.0,13209.790367240348
0.0,13209.377664414611
0.0,13208.964948694413
0.0,13208.552220078547
0.0,13208.139478565801
0.0,13207.726724154969
0.0,13207.313956844839
0.0,13206.901176634203
0.0,13206.488383521852
0.0,13206.075577506574
0.0,13205.66275858716
0.0,13205.249926762399
0.0,13204.837082031083
0.0,13204.424224391998
0.0,13204.011353843938
0.0,13203.598470385688
0.0,13203.185574016039
0.0,13202.77266473378
0.0,13202.359742537694
0.0,13201.946807426575
0.0,13201.533859399211
0.0,13201.120898454392
0.0,13200.707924590899
0.0,13200.294937807521
0.0,13199.88193810305
0.0,13199.468925476267
0.0,13199.055899925963
0.0,13198.642861450924
0.0,13198.229810049937
0.0,13197.816745721788
0.0,13197.403668465266
0.0,13196.990578279152
0.0,13196.57747516223
0.0,13196.164359113296
0.0,13195.751230131125
0.0,13195.338088214508
0.0,13194.924933362227
0.0,13194.51176557307
0.0,13194.098584845817
0.0,13193.685391179257
0.0,13193.272184572172
0.0,13192.858965023348
0.0,13192.445732531567
0.0,13192.032487095614
0.0,13191.619228714268
0.0,13191.20595738632
0.0,13190.792673110547
0.0,13190.379375885737
0.0,13189.966065710667
0.0,13189.552742584125
0.0,13189.13940650489
0.0,13188.726057471746
0.0,13188.312695483472
0.0,13187.899320538854
0.0,13187.48593263667
0.0,13187.072531775704
0.0,13186.659117954738
0.0,13186.245691172548
0.0,13185.832251427919
0.0,13185.418798719631
0.0,13185.005333046465
0.0,13184.5918544072
0.0,13184.178362800618
0.0,13183.764858225497
0.0,13183.351340680616
0.0,13182.937810164758
0.0,13182.524266676697
0.0,13182.110710215218
0.0,13181.697140779097
0.0,13181.283558367113
0.0,13180.869962978044
0.0,13180.456354610671
0.0,13180.042733263766
0.0,13179.629098936117
0.0,13179.21545162649
0.0,13178.80179133367
0.0,13178.388118056435
0.0,13177.974431793558
0.0,13177.56073254382
0.0,13177.147020305994
0.0,13176.733295078859
0.0,13176.319556861192
0.0,13175.905805651768
0.0,13175.492041449366
0.0,13175.078264252757
0.0,13174.66447406072
0.0,13174.250670872028
0.0,13173.836854685458
0.0,13173.423025499786
0.0,13173.009183313785
0.0,13172.59532812623
0.0,13172.181459935897
0.0,13171.76757874156
0.0,13171.35368454199
0.0,13170.939777335965
0.0,13170.525857122257
0.0,13170.111923899638
0.0,13169.697977666885
0.0,13169.284018422768
0.0,13168.870046166065
0.0,13168.456060895542
0.0,13168.042062609975
0.0,13167.628051308136
0.0,13167.2140269888
0.0,13166.799989650735
0.0,13166.385939292713
0.0,13165.971875913508
0.0,13165.55779951189
0.0,13165.14371008663
0.0,13164.7296076365
0.0,13164.31549216027
0.0,13163.90136365671
0.0,13163.487222124595
0.0,13163.07306756269
0.0,13162.658899969765
0.0,13162.244719344595
0.0,13161.830525685944
0.0,13161.416318992586
0.0,13161.002099263287
0.0,13160.587866496817
0.0,13160.173620691947
0.0,13159.759361847444
0.0,13159.345089962077
0.0,13158.930805034612
0.0,13158.51650706382
0.0,13158.102196048469
0.0,13157.687871987326
0.0,13157.273534879158
0.0,13156.85918472273
0.0,13156.444821516816
0.0,13156.030445260181
0.0,13155.616055951585
0.0,13155.201653589804
0.0,13154.787238173594
0.0,13154.372809701732
0.0,13153.958368172978
0.0,13153.543913586098
0.0,13153.12944593986
0.0,13152.714965233026
0.0,13152.300471464365
0.0,13151.88596463264
0.0,13151.471444736615
0.0,13151.056911775057
0.0,13150.64236574673
0.0,13150.227806650395
0.0,13149.81323448482
0.0,13149.398649248766
0.0,13148.984050940999
0.0,13148.569439560282
0.0,13148.15481510538
0.0,13147.74017757505
0.0,13147.325526968061
0.0,13146.910863283172
0.0,13146.496186519149
0.0,13146.081496674751
0.0,13145.66679374874
